ProteinID	TPM_max
floridaGar__Unknown__TRINITY_DN16_c0_g2_i3.p1	42.379913
floridaGar__Unknown__TRINITY_DN3169_c0_g1_i2.p1	16.954141
floridaGar__Unknown__TRINITY_DN3169_c0_g1_i2.p1	16.954141
floridaGar__Unknown__TRINITY_DN28528_c0_g1_i1.p1	1.900779
floridaGar__Unknown__TRINITY_DN28528_c0_g1_i1.p1	1.900779
floridaGar__Unknown__TRINITY_DN28528_c0_g1_i1.p1	1.900779
floridaGar__Unknown__TRINITY_DN7066_c0_g1_i1.p1	4.770728
floridaGar__Unknown__TRINITY_DN7066_c0_g1_i1.p1	4.770728
floridaGar__Unknown__TRINITY_DN7066_c0_g1_i1.p1	4.770728
floridaGar__Unknown__TRINITY_DN7066_c0_g2_i2.p1	3.658194
floridaGar__Unknown__TRINITY_DN7066_c0_g2_i2.p1	3.658194
floridaGar__Unknown__TRINITY_DN7066_c0_g2_i2.p1	3.658194
floridaGar__Unknown__TRINITY_DN764_c0_g1_i1.p1	21.953476
floridaGar__Unknown__TRINITY_DN46121_c0_g1_i1.p1	3.491441
floridaGar__Unknown__TRINITY_DN10496_c0_g4_i2.p2	4.116297
floridaGar__Unknown__TRINITY_DN1_c7_g1_i1.p1	3.066442
eel__Unknown__TRINITY_DN10285_c0_g1_i4.p1	20.890851
eel__Unknown__TRINITY_DN20670_c0_g2_i1.p1	6.261365
eel__Unknown__TRINITY_DN22962_c0_g3_i1.p2	2.880051
eel__Unknown__TRINITY_DN32077_c0_g1_i1.p1	3.615845
eel__Unknown__TRINITY_DN16734_c0_g1_i7.p2	6.909453
eel__Unknown__TRINITY_DN22962_c0_g1_i1.p2	25.963225
eel__Unknown__TRINITY_DN84209_c0_g2_i1.p1	1.930821
eel__Unknown__TRINITY_DN14911_c0_g1_i1.p2	12.616241
eel__Unknown__TRINITY_DN17_c1_g1_i4.p1	3.298335
eel__Unknown__TRINITY_DN24239_c0_g1_i6.p1	1.391258
