OrganismOrder181	OrganismShortName	OrganismID	OrganismCommonName	OrganismScientificName	OrganismColor	IsVertebrate	Representative	Datasets	OrganismOrder50	annotated50	bulkrna107	scrna35	hahnscrna17	liscrna24	near29	AnnotationSource	AnnotationRelease	AnnotationName	AnnotationComment	SurrogateID	SurrogateShortName	SurrogateAnnotationSource	SurrogateAnnotationRelease	SurrogateAnnotationName
65	lungfish	Protopterus_annectens	West African lungfish	Protopterus annectens	Lobe-finned fishes	Yes	Yes	annotated50	20.0	Yes	No	No	No	No	No	GCF	GCF_019279795.1	PAN1.0		Protopterus_annectens	lungfish	GCF	GCF_019279795.1	PAN1.0
66	tinyCaecilian	Microcaecilia_unicolor	Tiny Cayenne Caecilian	Microcaecilia unicolor	Amphibians	Yes	Yes	annotated50	21.0	Yes	No	No	No	No	No	GCF	GCF_901765095.1	aMicUni1.1		Microcaecilia_unicolor	tinyCaecilian	GCF	GCF_901765095.1	aMicUni1.1
67	twolinedCaecilian	Rhinatrema_bivittatum	Two-lined caecilian	Rhinatrema bivittatum	Amphibians	Yes	Yes	annotated50	22.0	Yes	No	No	No	No	No	GCF	GCF_901001135.1	aRhiBiv1.1		Rhinatrema_bivittatum	twolinedCaecilian	GCF	GCF_901001135.1	aRhiBiv1.1
68	chineseSalamander	Andrias_davidianus	Chinese giant salamander	Andrias davidianus	Amphibians	Yes	Yes	bulkrna107		No	Yes	No	No	No	No	GCF Near	GCF_040938575.1	UKY_AmexF1_1		Ambystoma_mexicanum	axolotl	GCF	GCF_040938575.1	UKY_AmexF1_1
69	axolotl	Ambystoma_mexicanum	Axolotl	Ambystoma mexicanum	Amphibians	Yes	Yes	liscrna24		No	No	Yes	No	Yes	No	GCF	GCF_040938575.1	UKY_AmexF1_1	Orig paper used AmbMex60DD	Ambystoma_mexicanum	axolotl	GCF	GCF_040938575.1	UKY_AmexF1_1
70	redSalamander	Plethodon_cinereus	Red-backed salamander	Plethodon cinereus	Amphibians	Yes	Yes	bulkrna107		No	Yes	No	No	No	No	GCF Near	GCF_040938575.1	UKY_AmexF1_1		Ambystoma_mexicanum	axolotl	GCF	GCF_040938575.1	UKY_AmexF1_1
71	himalayaFrog	Nanorana_parkeri	High Himalaya Frog	Nanorana parkeri	Amphibians	Yes	Yes	annotated50	23.0	Yes	No	No	No	No	No	GCF	GCF_000935625.1	ASM93562v1		Nanorana_parkeri	himalayaFrog	GCF	GCF_000935625.1	ASM93562v1
72	westernFrog	Xenopus_tropicalis	Western clawed frog	Xenopus tropicalis	Amphibians	Yes	Yes	annotated50,bulkrna107	24.0	Yes	Yes	No	No	No	No	GCF	GCF_000004195.4	UCB_Xtro_10.0		Xenopus_tropicalis	westernFrog	GCF	GCF_000004195.4	UCB_Xtro_10.0
73	africanFrog	Xenopus_laevis	African clawed frog	Xenopus laevis	Amphibians	Yes	Yes	annotated50,bulkrna107	25.0	Yes	Yes	No	No	No	No	GCF	GCF_017654675.1	Xenopus_laevis_v10.1		Xenopus_laevis	africanFrog	GCF	GCF_017654675.1	Xenopus_laevis_v10.1
74	tokayGecko	Gekko_gecko	Tokay gecko	Gekko gecko	Squamata (lizards and snakes)	Yes	Yes	bulkrna107		No	Yes	No	No	No	No	GCF Near	GCF_001447785.1	Gekko_japonicus_V1.1		Gekko_japonicus	japaneseGecko	GCF	GCF_001447785.1	Gekko_japonicus_V1.1
75	japaneseGecko	Gekko_japonicus	Japanese gecko	Gekko japonicus	Squamata (lizards and snakes)	Yes	Yes	annotated50	26.0	Yes	No	No	No	No	No	GCF	GCF_001447785.1	Gekko_japonicus_V1.1		Gekko_japonicus	japaneseGecko	GCF	GCF_001447785.1	Gekko_japonicus_V1.1
76	sandLizard	Lacerta_agilis	Sand lizard	Lacerta agilis	Squamata (lizards and snakes)	Yes	Yes	annotated50	27.0	Yes	No	No	No	No	No	GCF	GCF_009819535.1	rLacAgi1.pri		Lacerta_agilis	sandLizard	GCF	GCF_009819535.1	rLacAgi1.pri
77	tawnyDragon	Ctenophorus_decresii	Tawny crevice-dragon	Ctenophorus decresii	Squamata (lizards and snakes)	Yes	Yes	bulkrna107		No	Yes	No	No	No	No	GCF Near	GCF_900067755.1	pvi1.1		Pogona_vitticeps	beardedDragon	GCF	GCF_900067755.1	pvi1.1
78	beardedDragon	Pogona_vitticeps	Bearded dragon	Pogona vitticeps	Squamata (lizards and snakes)	Yes	Yes	annotated50,liscrna24	28.0	Yes	No	Yes	No	Yes	No	GCF	GCF_900067755.1	pvi1.1		Pogona_vitticeps	beardedDragon	GCF	GCF_900067755.1	pvi1.1
79	greenAnole	Anolis_carolinensis	Green anole lizard	Anolis carolinensis	Squamata (lizards and snakes)	Yes	Yes	annotated50,bulkrna107	29.0	Yes	Yes	No	No	No	No	GCF	GCF_035594765.1	rAnoCar3.1.pri		Anolis_carolinensis	greenAnole	GCF	GCF_035594765.1	rAnoCar3.1.pri
80	brownAnole	Anolis_sagrei	Brown anole lizard 	Anolis sagrei	Squamata (lizards and snakes)	Yes	Yes	annotated50,hahnscrna17	30.0	Yes	No	Yes	Yes	No	No	GCF	GCF_037176765.1	rAnoSag1.mat	Orig paper used GCF_025583915.1/AnoSag2.1	Anolis_sagrei	brownAnole	GCF	GCF_037176765.1	rAnoSag1.mat
81	python	Python_bivittatus	Burmese python	Python bivittatus	Squamata (lizards and snakes)	Yes	Yes	annotated50	31.0	Yes	No	No	No	No	No	GCF	GCF_000186305.1	Python_molurus_bivittatus-5.0.2		Python_bivittatus	python	GCF	GCF_000186305.1	Python_molurus_bivittatus-5.0.2
82	groundBoa	Candoia_aspera	Papuan ground boa	Candoia aspera	Squamata (lizards and snakes)	Yes	Yes	near29		No	No	No	No	No	Yes	GCF	GCF_035149785.1	rCanAsp1.hap2		Candoia_aspera	groundBoa	GCF	GCF_035149785.1	rCanAsp1.hap2
83	cobra	Naja_naja	Indian cobra	Naja naja	Squamata (lizards and snakes)	Yes	No	bulkrna107		No	Yes	No	No	No	No	GCF Near				Candoia_aspera	groundBoa	GCF	GCF_035149785.1	rCanAsp1.hap2
84	garterSnake	Thamnophis_sirtalis	Common garter snake	Thamnophis sirtalis	Squamata (lizards and snakes)	Yes	Yes	annotated50,bulkrna107	32.0	Yes	Yes	No	No	No	No	GCF	GCF_001077635.1	Thamnophis_sirtalis-6.0		Thamnophis_sirtalis	garterSnake	GCF	GCF_001077635.1	Thamnophis_sirtalis-6.0
85	cornSnake	Pantherophis_guttatus	Corn snake	Pantherophis guttatus	Squamata (lizards and snakes)	Yes	Yes	liscrna24		No	No	Yes	No	Yes	No	GCF	GCF_029531705.1	CU_Pguttatus_1		Pantherophis_guttatus	cornSnake	GCF	GCF_029531705.1	CU_Pguttatus_1
86	greenTurtle	Chelonia_mydas	Green turtle	Chelonia mydas	Turtles	Yes	Yes	annotated50	33.0	Yes	No	No	No	No	No	GCF	GCF_015237465.2	rCheMyd1.pri.v2		Chelonia_mydas	greenTurtle	GCF	GCF_015237465.2	rCheMyd1.pri.v2
87	redTurtle	Trachemys_scripta	Red-eared slider turtle	Trachemys scripta elegans	Turtles	Yes	Yes	liscrna24		No	No	Yes	No	Yes	No	GCF	GCF_013100865.1	CAS_Tse_1.0		Trachemys_scripta	redTurtle	GCF	GCF_013100865.1	CAS_Tse_1.0
88	americanAlligator	Alligator_mississippiensis	American alligator	Alligator mississippiensis	Crocodiles	Yes	Yes	annotated50,bulkrna107	34.0	Yes	Yes	No	No	No	No	GCF	GCF_030867095.1	rAllMis1		Alligator_mississippiensis	americanAlligator	GCF	GCF_030867095.1	rAllMis1
