SampleID	SampleShortID	SampleSubID	Source	RunType	OrganismID	NumberSamples	NNRL_LibraryID	SRA_BioProjectID	SRA_RunID	SRA_BioSampleID	SRA_ExperimentID	ReferencePaper	DOI
Sus_scrofa_1	SUSC1	1	SRA	PE	Sus_scrofa	3		PRJNA392949	SRR5803849	SAMN07315029	SRX2983155	Zhao_Liu_2021_MiningUnknownPorcine	https://doi.org/10.1016/j.gpb.2021.02.002
Sus_scrofa_2	SUSC2	2	SRA	PE	Sus_scrofa	3		PRJNA392949	SRR5803850	SAMN07315029	SRX2983154	Zhao_Liu_2021_MiningUnknownPorcine	https://doi.org/10.1016/j.gpb.2021.02.002
Taeniopygia_guttata_0	TAGU0	0	Mine	PE	Taeniopygia_guttata	3	R42019-282						
Taeniopygia_guttata_1	TAGU1	1	Mine	PE	Taeniopygia_guttata	3	R42019-280						
Taeniopygia_guttata_2	TAGU2	2	Mine	PE	Taeniopygia_guttata	3	R42019-281						
Taphozous_melanopogon_0	TAME0	0	SRA	PE	Taphozous_melanopogon	1		PRJNA255191	SRR1515271	SAMN02911655	SRX652795	NoReferencePaper	
Thamnophis_sirtalis_0	THSI0	0	SRA	PE	Thamnophis_sirtalis	1		PRJNA432436	SRR6668169	SAMN08449337	SRX3644876	Schott_Chang_2018_ShiftsSelectivePressures	https://doi.org/10.1093/molbev/msy025
Thunnus_albacares_0	THAL0	0	SRA	PE	Thunnus_albacares	1		PRJNA421052	SRR8242435	SAMN10473303	SRX5060687	Musilova_Salzburger_2019_VisionUsingMultiple	https://doi.org/10.1126/science.aav4632
Trochilus_hybrid_0	TRHY0	0	Mine	PE	Trochilus_hybrid	3	R42019-269						
Trochilus_hybrid_1	TRHY1	1	Mine	PE	Trochilus_hybrid	3	R42019-301						
Trochilus_hybrid_2	TRHY2	2	Mine	PE	Trochilus_hybrid	3	R42019-302						
Trochilus_polytmus_0	TRPO0	0	Mine	PE	Trochilus_polytmus	4	R42019-271						
Trochilus_polytmus_1	TRPO1	1	Mine	PE	Trochilus_polytmus	4	R42019-270						
Trochilus_polytmus_2	TRPO2	2	Mine	PE	Trochilus_polytmus	4	R42019-303						
Trochilus_polytmus_3	TRPO3	3	Mine	PE	Trochilus_polytmus	4	R42019-266						
Trochilus_scitulus_0	TRSC0	0	Mine	PE	Trochilus_scitulus	4	R42019-272						
Trochilus_scitulus_1	TRSC1	1	Mine	PE	Trochilus_scitulus	4	R42019-268						
Trochilus_scitulus_2	TRSC2	2	Mine	PE	Trochilus_scitulus	4	R42019-267						
Trochilus_scitulus_3	TRSC3	3	Mine	PE	Trochilus_scitulus	4	R42019-265						
Tyto_alba_0	TYAL0	0	Mine	PE	Tyto_alba	1	R42019-276						
Tyto_longimembris_0	TYLO0	0	SRA	PE	Tyto_longimembris	1		PRJNA314290	SRR3203222	SAMN04531185	SRX1612725	NoReferencePaper	
Upupa_epops_0	UPEP0	0	SRA	PE	Upupa_epops	1		PRJNA314290	SRR3203224	SAMN04531186	SRX1612727	NoReferencePaper	
Xenopus_laevis_0	XELA0	0	SRA	SE	Xenopus_laevis	3		PRJNA311315	SRR3157346	SAMN04481654	SRX1568298	Whitworth_Watson_2017_TranslationalProfilingRetinal	https://doi.org/10.1016/j.ydbio.2016.06.003
Xenopus_laevis_1	XELA1	1	SRA	SE	Xenopus_laevis	3		PRJNA311315	SRR3157356	SAMN04481664	SRX1568308	Whitworth_Watson_2017_TranslationalProfilingRetinal	https://doi.org/10.1016/j.ydbio.2016.06.003
Xenopus_laevis_2	XELA2	2	SRA	SE	Xenopus_laevis	3		PRJNA311315	SRR3157347	SAMN04481655	SRX1568299	Whitworth_Watson_2017_TranslationalProfilingRetinal	https://doi.org/10.1016/j.ydbio.2016.06.003
Xenopus_tropicalis_0	XETR0	0	Mine	PE	Xenopus_tropicalis	3	R42019-258						
Xenopus_tropicalis_1	XETR1	1	Mine	PE	Xenopus_tropicalis	3	R42019-259						
Xenopus_tropicalis_2	XETR2	2	Mine	PE	Xenopus_tropicalis	3	R42019-257						
